problem_id,nav_title,nav_problem_type,ftext_section,ftext_problem_number,ftext_problem_title,match_level,base_url,target_method,direct_url,browser_verified,notes
M1-QF-014,固定された閉区間での最大・最小,軸を含む・含まない固定閉区間での最大最小,数学I/関数と方程式・不等式/2次関数とそのグラフ,prob-s63-9,2次関数の最大・最小～その1～,EXACT,https://ftext.org/mathI/02-%E9%96%A2%E6%95%B0%E3%81%A8%E6%96%B9%E7%A8%8B%E5%BC%8F%E3%83%BB%E4%B8%8D%E7%AD%89%E5%BC%8F/05-2%E6%AC%A1%E9%96%A2%E6%95%B0%E3%81%A8%E3%81%9D%E3%81%AE%E3%82%B0%E3%83%A9%E3%83%95,native_anchor,https://ftext.org/mathI/02-%E9%96%A2%E6%95%B0%E3%81%A8%E6%96%B9%E7%A8%8B%E5%BC%8F%E3%83%BB%E4%B8%8D%E7%AD%89%E5%BC%8F/05-2%E6%AC%A1%E9%96%A2%E6%95%B0%E3%81%A8%E3%81%9D%E3%81%AE%E3%82%B0%E3%83%A9%E3%83%95#prob-s63-9,not_individually_verified(mechanism confirmed via 11-case sample),同一の固定放物線に対し複数の閉区間で最大最小を求める構成が完全一致
M1-QF-015,範囲の端が含まれない最大・最小,片端を含まない半開区間での最大最小,数学I/関数と方程式・不等式/2次関数とそのグラフ,prob-s63-9,2次関数の最大・最小～その1～,CLOSE,https://ftext.org/mathI/02-%E9%96%A2%E6%95%B0%E3%81%A8%E6%96%B9%E7%A8%8B%E5%BC%8F%E3%83%BB%E4%B8%8D%E7%AD%89%E5%BC%8F/05-2%E6%AC%A1%E9%96%A2%E6%95%B0%E3%81%A8%E3%81%9D%E3%81%AE%E3%82%B0%E3%83%A9%E3%83%95,native_anchor,https://ftext.org/mathI/02-%E9%96%A2%E6%95%B0%E3%81%A8%E6%96%B9%E7%A8%8B%E5%BC%8F%E3%83%BB%E4%B8%8D%E7%AD%89%E5%BC%8F/05-2%E6%AC%A1%E9%96%A2%E6%95%B0%E3%81%A8%E3%81%9D%E3%81%AE%E3%82%B0%E3%83%A9%E3%83%95#prob-s63-9,not_individually_verified(mechanism confirmed via 11-case sample),基礎の閉区間パターン練習として近いが、半開区間で最大値が存在しない場合の判断はこの問題に含まれない
M1-QF-016,最大・最小の条件から定数を決定,最小値の値から定数cを逆算し最大値も求める,数学I/関数と方程式・不等式/2次関数とそのグラフ,prob-s63-9,2次関数の最大・最小～その1～,BROAD,,none,,n/a,閉区間での最大最小の基礎技能は関連するが、最小値から定数を逆算する構成のFTEXT問題は見当たらない
M1-QF-017,定義域の一端が文字で動く最大・最小,定義域0≦x≦aで文字aによる場合分け,数学I/関数と方程式・不等式/2次関数とそのグラフ,prob-s63-12,2次関数の最大・最小（文字定数を含む場合）,EXACT,https://ftext.org/mathI/02-%E9%96%A2%E6%95%B0%E3%81%A8%E6%96%B9%E7%A8%8B%E5%BC%8F%E3%83%BB%E4%B8%8D%E7%AD%89%E5%BC%8F/05-2%E6%AC%A1%E9%96%A2%E6%95%B0%E3%81%A8%E3%81%9D%E3%81%AE%E3%82%B0%E3%83%A9%E3%83%95,native_anchor,https://ftext.org/mathI/02-%E9%96%A2%E6%95%B0%E3%81%A8%E6%96%B9%E7%A8%8B%E5%BC%8F%E3%83%BB%E4%B8%8D%E7%AD%89%E5%BC%8F/05-2%E6%AC%A1%E9%96%A2%E6%95%B0%E3%81%A8%E3%81%9D%E3%81%AE%E3%82%B0%E3%83%A9%E3%83%95#prob-s63-12,verified_pc_2026-09-13,定義域0≦x≦aで文字aの範囲により最大・最小を場合分けする構成が完全一致
M1-QF-018,軸が文字で動く固定区間の最大・最小,固定区間に対し軸x=aが動く場合分け,数学I/関数と方程式・不等式/2次関数とそのグラフ,prob-s63-11,文字定数を含む2次関数の形の判別,EXACT,https://ftext.org/mathI/02-%E9%96%A2%E6%95%B0%E3%81%A8%E6%96%B9%E7%A8%8B%E5%BC%8F%E3%83%BB%E4%B8%8D%E7%AD%89%E5%BC%8F/05-2%E6%AC%A1%E9%96%A2%E6%95%B0%E3%81%A8%E3%81%9D%E3%81%AE%E3%82%B0%E3%83%A9%E3%83%95,native_anchor,https://ftext.org/mathI/02-%E9%96%A2%E6%95%B0%E3%81%A8%E6%96%B9%E7%A8%8B%E5%BC%8F%E3%83%BB%E4%B8%8D%E7%AD%89%E5%BC%8F/05-2%E6%AC%A1%E9%96%A2%E6%95%B0%E3%81%A8%E3%81%9D%E3%81%AE%E3%82%B0%E3%83%A9%E3%83%95#prob-s63-11,verified_pc_2026-09-13,固定区間に対し軸が文字定数aで動き、軸の位置で場合分けする構成が完全一致
M1-QF-019,最大・最小の値から文字を逆算,最小値の値から係数aを逆算,数学I/関数と方程式・不等式/2次関数とそのグラフ,prob-s63-12,2次関数の最大・最小（文字定数を含む場合）,BROAD,,none,,n/a,文字定数を含む最大最小の場合分け技能は関連するが、与えられた最小値から係数を逆算する構成のFTEXT問題は見当たらない
M1-QF-020,最小値を文字の関数として扱い、さらに最大化,最小値mをkの式で表しさらにmの最大値を求める2段階最適化,数学I/関数と方程式・不等式/2次関数とそのグラフ,prob-s63-12,2次関数の最大・最小（文字定数を含む場合）,CLOSE,https://ftext.org/mathI/02-%E9%96%A2%E6%95%B0%E3%81%A8%E6%96%B9%E7%A8%8B%E5%BC%8F%E3%83%BB%E4%B8%8D%E7%AD%89%E5%BC%8F/05-2%E6%AC%A1%E9%96%A2%E6%95%B0%E3%81%A8%E3%81%9D%E3%81%AE%E3%82%B0%E3%83%A9%E3%83%95,native_anchor,https://ftext.org/mathI/02-%E9%96%A2%E6%95%B0%E3%81%A8%E6%96%B9%E7%A8%8B%E5%BC%8F%E3%83%BB%E4%B8%8D%E7%AD%89%E5%BC%8F/05-2%E6%AC%A1%E9%96%A2%E6%95%B0%E3%81%A8%E3%81%9D%E3%81%AE%E3%82%B0%E3%83%A9%E3%83%95#prob-s63-12,not_individually_verified(mechanism confirmed via 11-case sample),前半の文字定数による場合分けで最小値を求める部分の技能が一致。ただしその先の2段階目（最大値のさらなる最大化）はこの問題に含まれない
M1-QF-021,定義域全体が文字によって動く最大・最小,幅一定の定義域a≦x≦a+2が文字でスライド,数学I/関数と方程式・不等式/2次関数とそのグラフ,prob-s63-11,文字定数を含む2次関数の形の判別,BROAD,,none,,n/a,文字定数による場合分け技能は関連するが、両端が同時に動く定義域のスライド型はFTEXTのこの問題（軸が動く・片端が動くパターン）とは場合分けの構造が異なる
M1-QF-022,文章・図形条件を二次関数へ帰着する最大・最小,文章題の条件から2次関数を立式し面積等を最大化,数学I/関数と方程式・不等式/2次関数とそのグラフ,prob-s63-13,2次関数の応用,CLOSE,https://ftext.org/mathI/02-%E9%96%A2%E6%95%B0%E3%81%A8%E6%96%B9%E7%A8%8B%E5%BC%8F%E3%83%BB%E4%B8%8D%E7%AD%89%E5%BC%8F/05-2%E6%AC%A1%E9%96%A2%E6%95%B0%E3%81%A8%E3%81%9D%E3%81%AE%E3%82%B0%E3%83%A9%E3%83%95,native_anchor,https://ftext.org/mathI/02-%E9%96%A2%E6%95%B0%E3%81%A8%E6%96%B9%E7%A8%8B%E5%BC%8F%E3%83%BB%E4%B8%8D%E7%AD%89%E5%BC%8F/05-2%E6%AC%A1%E9%96%A2%E6%95%B0%E3%81%A8%E3%81%9D%E3%81%AE%E3%82%B0%E3%83%A9%E3%83%95#prob-s63-13,not_individually_verified(mechanism confirmed via 11-case sample),文章題から1変数を設定し2次関数の最大最小に帰着する技能が共通。具体的題材（花壇の面積 対 針金の正方形面積・売上）は異なる
M1-QF-023,通過点の条件から未知係数を決定,1つの通過点から1つの未知係数bを決定,数学I/関数と方程式・不等式/2次関数とそのグラフ,prob-s63-7,頂点や軸に関する条件が与えられた場合,BROAD,,none,,n/a,未知係数を代入で決定する技能は関連するが、FTEXTの決定問題は頂点・軸・複数点などより複雑な条件で構成され、単一係数の代入決定に対応する単純な問題が見当たらない
M1-QF-024,頂点＋通過点から二次関数を決定,頂点の座標と通る1点から2次関数を決定,数学I/関数と方程式・不等式/2次関数とそのグラフ,prob-s63-7,頂点や軸に関する条件が与えられた場合,EXACT,https://ftext.org/mathI/02-%E9%96%A2%E6%95%B0%E3%81%A8%E6%96%B9%E7%A8%8B%E5%BC%8F%E3%83%BB%E4%B8%8D%E7%AD%89%E5%BC%8F/05-2%E6%AC%A1%E9%96%A2%E6%95%B0%E3%81%A8%E3%81%9D%E3%81%AE%E3%82%B0%E3%83%A9%E3%83%95,native_anchor,https://ftext.org/mathI/02-%E9%96%A2%E6%95%B0%E3%81%A8%E6%96%B9%E7%A8%8B%E5%BC%8F%E3%83%BB%E4%B8%8D%E7%AD%89%E5%BC%8F/05-2%E6%AC%A1%E9%96%A2%E6%95%B0%E3%81%A8%E3%81%9D%E3%81%AE%E3%82%B0%E3%83%A9%E3%83%95#prob-s63-7,not_individually_verified(mechanism confirmed via 11-case sample),同問題(1)が頂点＋通過点1点から2次関数を決定する構成で完全一致
M1-QF-025,軸＋通過点等から二次関数を決定,軸の方程式と通る2点から2次関数を決定,数学I/関数と方程式・不等式/2次関数とそのグラフ,prob-s63-7,頂点や軸に関する条件が与えられた場合,EXACT,https://ftext.org/mathI/02-%E9%96%A2%E6%95%B0%E3%81%A8%E6%96%B9%E7%A8%8B%E5%BC%8F%E3%83%BB%E4%B8%8D%E7%AD%89%E5%BC%8F/05-2%E6%AC%A1%E9%96%A2%E6%95%B0%E3%81%A8%E3%81%9D%E3%81%AE%E3%82%B0%E3%83%A9%E3%83%95,native_anchor,https://ftext.org/mathI/02-%E9%96%A2%E6%95%B0%E3%81%A8%E6%96%B9%E7%A8%8B%E5%BC%8F%E3%83%BB%E4%B8%8D%E7%AD%89%E5%BC%8F/05-2%E6%AC%A1%E9%96%A2%E6%95%B0%E3%81%A8%E3%81%9D%E3%81%AE%E3%82%B0%E3%83%A9%E3%83%95#prob-s63-7,not_individually_verified(mechanism confirmed via 11-case sample),同問題(2)が軸＋通る2点から2次関数を決定する構成で完全一致
M1-QF-026,最大・最小条件＋通過点から二次関数を決定,最小値の条件（＝頂点）と通る1点から2次関数を決定,数学I/関数と方程式・不等式/2次関数とそのグラフ,prob-s63-7,頂点や軸に関する条件が与えられた場合,CLOSE,https://ftext.org/mathI/02-%E9%96%A2%E6%95%B0%E3%81%A8%E6%96%B9%E7%A8%8B%E5%BC%8F%E3%83%BB%E4%B8%8D%E7%AD%89%E5%BC%8F/05-2%E6%AC%A1%E9%96%A2%E6%95%B0%E3%81%A8%E3%81%9D%E3%81%AE%E3%82%B0%E3%83%A9%E3%83%95,native_anchor,https://ftext.org/mathI/02-%E9%96%A2%E6%95%B0%E3%81%A8%E6%96%B9%E7%A8%8B%E5%BC%8F%E3%83%BB%E4%B8%8D%E7%AD%89%E5%BC%8F/05-2%E6%AC%A1%E9%96%A2%E6%95%B0%E3%81%A8%E3%81%9D%E3%81%AE%E3%82%B0%E3%83%A9%E3%83%95#prob-s63-7,not_individually_verified(mechanism confirmed via 11-case sample),最小値の条件は頂点の条件と同値であるため技能骨格は同問題(1)と共通だが、ナビ側は「最小値」という言い換えを一段階解釈する必要がある
M1-QF-027,3点から二次関数を決定,座標が具体的に与えられた3点から2次関数を決定,数学I/関数と方程式・不等式/2次関数とそのグラフ,prob-s63-8,グラフ上の3点が与えられた場合,EXACT,https://ftext.org/mathI/02-%E9%96%A2%E6%95%B0%E3%81%A8%E6%96%B9%E7%A8%8B%E5%BC%8F%E3%83%BB%E4%B8%8D%E7%AD%89%E5%BC%8F/05-2%E6%AC%A1%E9%96%A2%E6%95%B0%E3%81%A8%E3%81%9D%E3%81%AE%E3%82%B0%E3%83%A9%E3%83%95,native_anchor,https://ftext.org/mathI/02-%E9%96%A2%E6%95%B0%E3%81%A8%E6%96%B9%E7%A8%8B%E5%BC%8F%E3%83%BB%E4%B8%8D%E7%AD%89%E5%BC%8F/05-2%E6%AC%A1%E9%96%A2%E6%95%B0%E3%81%A8%E3%81%9D%E3%81%AE%E3%82%B0%E3%83%A9%E3%83%95#prob-s63-8,not_individually_verified(mechanism confirmed via 11-case sample),3点の座標から連立方程式を立ててa・b・cを決定する構成が完全一致
M1-QF-028,たすき掛けによる二次方程式,a≠1の2次方程式をたすき掛けで因数分解して解く,数学I 関数と方程式・不等式 2次方程式と2次関数,prob-s64-1,2次方程式を解く（因数分解の利用）,EXACT,https://ftext.org/mathI/02-%E9%96%A2%E6%95%B0%E3%81%A8%E6%96%B9%E7%A8%8B%E5%BC%8F%E3%83%BB%E4%B8%8D%E7%AD%89%E5%BC%8F/06-2%E6%AC%A1%E6%96%B9%E7%A8%8B%E5%BC%8F%E3%81%A82%E6%AC%A1%E9%96%A2%E6%95%B0,native_anchor,https://ftext.org/mathI/02-%E9%96%A2%E6%95%B0%E3%81%A8%E6%96%B9%E7%A8%8B%E5%BC%8F%E3%83%BB%E4%B8%8D%E7%AD%89%E5%BC%8F/06-2%E6%AC%A1%E6%96%B9%E7%A8%8B%E5%BC%8F%E3%81%A82%E6%AC%A1%E9%96%A2%E6%95%B0#prob-s64-1,not_individually_verified(mechanism confirmed via 11-case sample),設問3が12x^2-17x+6=0でたすき掛けの練習になっており骨格が同一
M1-QF-029,平方根を利用して解く二次方程式（±）,4x^2=25型をあえて因数分解（差の平方）で解き±を忘れない練習,数学I 関数と方程式・不等式 2次方程式と2次関数,prob-s64-1,2次方程式を解く（因数分解の利用）,BROAD,https://ftext.org/mathI/02-%E9%96%A2%E6%95%B0%E3%81%A8%E6%96%B9%E7%A8%8B%E5%BC%8F%E3%83%BB%E4%B8%8D%E7%AD%89%E5%BC%8F/06-2%E6%AC%A1%E6%96%B9%E7%A8%8B%E5%BC%8F%E3%81%A82%E6%AC%A1%E9%96%A2%E6%95%B0,native_anchor,https://ftext.org/mathI/02-%E9%96%A2%E6%95%B0%E3%81%A8%E6%96%B9%E7%A8%8B%E5%BC%8F%E3%83%BB%E4%B8%8D%E7%AD%89%E5%BC%8F/06-2%E6%AC%A1%E6%96%B9%E7%A8%8B%E5%BC%8F%E3%81%A82%E6%AC%A1%E9%96%A2%E6%95%B0#prob-s64-1,not_individually_verified(mechanism confirmed via 11-case sample),因数分解の練習という点では同じ単元だが「±を忘れない」という狙いの問題が独立しては存在せず技能がややずれる
M1-QF-030,解の公式による二次方程式,a≠1で判別式が非平方数の2次方程式を解の公式で解く,数学I 関数と方程式・不等式 2次方程式と2次関数,prob-s64-2,2次方程式を解く（解の公式の利用）,EXACT,https://ftext.org/mathI/02-%E9%96%A2%E6%95%B0%E3%81%A8%E6%96%B9%E7%A8%8B%E5%BC%8F%E3%83%BB%E4%B8%8D%E7%AD%89%E5%BC%8F/06-2%E6%AC%A1%E6%96%B9%E7%A8%8B%E5%BC%8F%E3%81%A82%E6%AC%A1%E9%96%A2%E6%95%B0,native_anchor,https://ftext.org/mathI/02-%E9%96%A2%E6%95%B0%E3%81%A8%E6%96%B9%E7%A8%8B%E5%BC%8F%E3%83%BB%E4%B8%8D%E7%AD%89%E5%BC%8F/06-2%E6%AC%A1%E6%96%B9%E7%A8%8B%E5%BC%8F%E3%81%A82%E6%AC%A1%E9%96%A2%E6%95%B0#prob-s64-2,not_individually_verified(mechanism confirmed via 11-case sample),設問5(4x^2+6x+1=0)がa≠1・√が残る解の骨格まで一致
M1-QF-031,1つの解が与えられた二次方程式,解の1つx=2を代入してmと他の解を求める,-,-,-,NONE,-,none,-,n/a,FTEXTのmathI範囲に該当する練習問題が見当たらない
M1-QF-032,判別式による実数解の個数,数値のみの2次方程式3問について判別式で実数解の個数を求める,数学I 関数と方程式・不等式 2次方程式と2次関数,prob-s64-4,2次方程式の解の個数の判別,CLOSE,https://ftext.org/mathI/02-%E9%96%A2%E6%95%B0%E3%81%A8%E6%96%B9%E7%A8%8B%E5%BC%8F%E3%83%BB%E4%B8%8D%E7%AD%89%E5%BC%8F/06-2%E6%AC%A1%E6%96%B9%E7%A8%8B%E5%BC%8F%E3%81%A82%E6%AC%A1%E9%96%A2%E6%95%B0,native_anchor,https://ftext.org/mathI/02-%E9%96%A2%E6%95%B0%E3%81%A8%E6%96%B9%E7%A8%8B%E5%BC%8F%E3%83%BB%E4%B8%8D%E7%AD%89%E5%BC%8F/06-2%E6%AC%A1%E6%96%B9%E7%A8%8B%E5%BC%8F%E3%81%A82%E6%AC%A1%E9%96%A2%E6%95%B0#prob-s64-4,not_individually_verified(mechanism confirmed via 11-case sample),判別式で解の個数を判定する技能は同一だがFTEXT側は文字定数kのケース分けで数値のみの練習より一段難しい
M1-QF-033,判別式と文字条件,x^2-4x+m=0が2実解/重解/実数解なし/実数解ありとなるmの条件を判別式で求める,数学I 関数と方程式・不等式 2次方程式と2次関数,prob-s64-4,2次方程式の解の個数の判別,EXACT,https://ftext.org/mathI/02-%E9%96%A2%E6%95%B0%E3%81%A8%E6%96%B9%E7%A8%8B%E5%BC%8F%E3%83%BB%E4%B8%8D%E7%AD%89%E5%BC%8F/06-2%E6%AC%A1%E6%96%B9%E7%A8%8B%E5%BC%8F%E3%81%A82%E6%AC%A1%E9%96%A2%E6%95%B0,native_anchor,https://ftext.org/mathI/02-%E9%96%A2%E6%95%B0%E3%81%A8%E6%96%B9%E7%A8%8B%E5%BC%8F%E3%83%BB%E4%B8%8D%E7%AD%89%E5%BC%8F/06-2%E6%AC%A1%E6%96%B9%E7%A8%8B%E5%BC%8F%E3%81%A82%E6%AC%A1%E9%96%A2%E6%95%B0#prob-s64-4,verified_pc_2026-09-13,文字定数を含む2次方程式の判別式でD>0/=0/<0を場合分けする骨格が同一
